FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Sobia,12.66,52.63,135.8,1.94,4.85,0.55,3.35,19.4,184.69,174.85,52.81,52.44,63.35,4.71,4.51,0.33,315.77,25.94,0.2,0.47
Labneh,1.41,63.81,366.08,30.51,24.41,1.43,0.44,9.15,199.48,506.08,124.76,132.49,89.11,2.68,4.27,0.29,210.53,0.13,0.44,0.03
Chicken Liver,0.65,58.62,295.35,42.96,8.95,1.33,5.9,1.79,425.59,399.47,43.82,194.39,13.88,4.21,2.05,0.02,374.97,0.37,0.16,0.07
Grilled Chicken Breast,7.86,44.88,726.89,136.57,15.86,1.08,7.59,0,593.73,294.05,161.31,123.68,50.79,3.59,4.97,0.08,429.59,23.42,0.21,0.19
Boiled Egg,12.06,46.28,299.53,25.12,21.26,2.48,0.34,2.13,237.63,500.6,160.78,57.24,95.84,1.86,3.1,0.06,58.17,52.12,0.26,0.15
Lamb,6.07,40.09,856.08,72.8,61.15,1.57,4.63,0,29.49,202.75,85.31,191.86,117.38,5.86,3.73,0.34,644.81,43.5,0.46,0.04
Tamarind Drink,1.83,78.06,92.8,1.11,0.37,0.75,7.56,24.13,180.82,372.94,67.49,270.14,19.11,5.3,0.56,0.32,582.08,57.39,0.07,0.21
Lamb,13.92,59.64,893.02,75.94,63.79,2.5,1.98,0,370.29,588.28,38.83,183.84,71.1,5.65,2.58,0.37,531.06,28.32,0.41,0.48
Tea with Sugar,2.42,45.86,94,0,0,0.79,5.55,23.5,522.02,157.97,109.33,168.2,82.03,2.66,2.47,0.17,362.94,43.17,0.27,0.13
Zucchini Stew,14.28,42.64,156.38,3.48,5.21,2.05,6.46,20.85,369.64,415.83,98.07,261.53,86.81,2.41,0.63,0.04,97.95,30.43,0.17,0.27
Grilled Fish,7,48.96,435.15,71.49,15.54,1.94,3.98,0,47.53,511.98,14.19,61.47,96.52,1.53,4.49,0.26,280.88,51.82,0.39,0.17
Banana,9.22,53.91,131.68,1.63,0.44,0.8,1.77,34.03,565.64,366.13,110.19,157.03,51.24,4.49,4.5,0.43,161.22,41.85,0.11,0.38
Freekeh Cooked,4.28,43.46,108.54,4.34,1.63,2.33,2.89,21.71,247.66,469.24,156.07,59.96,97.17,4.83,2.95,0.2,389.11,35.57,0.08,0.14
Lamb,8.52,53.08,632.29,53.77,45.16,1.89,2.44,0,314.14,259.24,11.69,62.79,78.9,1.09,2.81,0.41,331.99,59.66,0.09,0.4
Ghorayeba,11.92,59.8,1961.66,20.43,130.78,0.59,7.06,114.43,66.97,574,174.86,206.62,49.12,4.63,2.5,0.06,81.73,17.69,0.04,0.47
Boiled Egg,11.33,62.54,507.34,42.55,36.01,1.56,7.66,3.6,568.89,379.77,168.79,187.72,106.26,0.87,2.19,0.4,92.8,41.98,0.06,0.4
Black Coffee,9.29,63.96,1.48,0,0,2.07,5.91,0,133.53,124.79,128.55,199.45,63.38,3.07,0.56,0.03,171.56,29.41,0.33,0.25
Atayef,7.4,40.39,612.84,11.49,22.98,2.23,7.55,76.6,30.1,401.14,186.09,255.82,32.24,3.59,2.48,0.14,773.28,34.97,0.37,0.24
Pasta Cooked,9.54,75.28,329.13,12.08,1.87,1.64,1.42,64.37,137.88,171.35,129.02,241.7,36.15,3.49,2.61,0.22,486.23,8.43,0.12,0.46
Koshari,1.01,65.84,734.18,21.25,15.46,1.36,2.06,123.65,552.28,463.21,93.38,105.06,34.78,2.26,3.16,0.27,165.15,16.35,0.49,0.03
Rice Pudding,8.45,71.5,527.98,13.2,13.2,1.79,3.17,96.8,151.85,489.75,144.53,129.23,95.32,1.29,0.98,0.26,322.54,51.61,0.4,0.04
Shorbet Adas,4.37,59.33,349.21,17.46,8.73,0.6,7.35,52.38,33.73,594.73,79.66,74.4,20.73,2.44,0.64,0.32,133.13,14.49,0.06,0.1
Grilled Chicken Breast,7.74,59.7,174.5,32.78,3.81,2.13,6.77,0,256.06,318.11,174.58,87.88,39.56,4.2,4.29,0.43,764.22,15.74,0.49,0.35
Ghee,11.91,70.75,4246.62,0,471.85,1.29,1.24,0,462.48,567.8,95.04,135.74,16.7,2.59,2.21,0.29,198.07,13.93,0.26,0.48
Molokhia,9.27,57.81,238.34,15.17,8.67,1.06,3.57,26,79.44,372.38,188.41,175.56,84.15,4.62,0.76,0.45,62.67,21.98,0.12,0.29
Chickpeas Cooked,14.39,72.56,373.21,20.48,5.92,2.25,1.1,61.44,263.07,353.44,128.06,297.86,76.07,4.4,4.08,0.11,34.96,50.62,0.18,0.11
White Cheese,4.4,70.23,967.06,35.46,80.59,1.62,3.26,9.67,577.09,110.8,150.19,243.62,52.72,1.51,4.08,0.19,246.4,16.14,0.34,0.42
Chickpeas Cooked,0.18,47.37,697.26,38.26,11.05,1.14,4.95,114.79,197.73,521.9,18.02,205.63,92.7,5.28,1.58,0.3,443.8,50.47,0.4,0.13
Lamb,2.82,43.92,330.48,28.1,23.61,2.25,1.21,0,426.85,138.07,186.22,120.54,61.75,4.28,1.36,0.32,765.45,35.58,0.27,0.19
Labneh,1.73,43.88,387.65,32.3,25.84,0.96,4.04,9.69,213.9,545.64,98.33,121.54,65.35,1.93,3.91,0.28,45.02,56.47,0.48,0.27
Kofta,10.85,61.01,613.96,47.23,42.5,1.02,1.65,11.81,533.98,592.23,67.58,81.77,64.41,0.32,0.2,0.21,120.02,10.84,0.16,0.26
Hawawshi,1.37,51.94,1109.89,46.54,42.96,1.68,6.3,121.73,127.49,486.05,50.76,71.95,35.06,0.58,4.53,0.14,282.49,2.3,0.06,0.2
Molokhia with Chicken,1.48,56.9,192.92,9.14,7.11,1.7,3.59,24.37,577.41,502.56,99.72,102.09,76.14,3.35,1.16,0.11,476.69,27.59,0.11,0.25
Zucchini Stew,11.24,42.04,260.64,5.79,8.69,0.78,3.71,34.75,252.28,349.74,186.1,215.63,92.12,3.77,2.66,0.33,606.91,17.26,0.44,0.36
Mango,5.7,45.48,181.98,2.43,1.21,2.18,3.11,45.49,571.5,498.28,142.06,57.05,43.45,0.33,0.21,0.27,24.91,10.69,0.29,0.04
Butter,2.57,67.93,2554.61,3.21,288.6,0.99,0.71,0.36,255.23,344.58,147.51,275.32,19.39,5.05,3.9,0.28,304.63,12.88,0.22,0.27
Green Lentils Cooked,9.07,43.03,223.3,17.33,0.77,0.95,6.44,38.5,573.97,105.66,96.63,56,113.47,5.72,4.56,0.48,455.34,34.76,0.07,0.14
Grilled Chicken Breast,8.53,72.47,437.54,82.2,9.55,0.68,0.45,0,13.86,311.35,197.98,297.79,54.18,2.48,4.9,0.21,728.49,47.87,0.3,0.38
Shorbet Adas,10.37,78.24,297.32,14.87,7.43,0.84,4.13,44.6,569.13,183.2,141.26,263.61,40.63,1.35,2.71,0.31,770.66,18.95,0.5,0.26
Kebab,7.04,54.59,737.23,70.77,47.18,2.37,7.77,2.95,31.99,140.34,61.51,149.23,38.51,0.93,3.37,0.21,112.05,33.9,0.17,0.17
Raw White Rice,11.56,70.8,768.34,15.15,1.28,0.97,5.75,168.61,385.52,517.94,44.28,118.54,46.84,2.49,4.6,0.11,742.87,4.1,0.32,0.07
Green Lentils Cooked,0.56,40.19,254.08,19.71,0.88,2.06,6.89,43.81,82.75,263.12,31.67,101.2,98.86,5.57,2.67,0.15,60.74,38.2,0.49,0.43
Labneh,14.22,50.06,277.52,23.13,18.5,1.87,1.24,6.94,277.99,536.47,143.89,91.46,46.16,5.82,3.86,0.44,628.31,11.59,0.48,0.39
Grilled Fish,11.23,69.62,183.24,30.1,6.54,1.31,0.04,0,305.84,434.1,28.08,53.28,79.71,5.95,2.66,0.18,525.47,3.01,0.23,0.12
Boiled Egg,8.59,59.65,174.51,14.64,12.38,1.84,1.52,1.24,243.69,563.75,78.25,176.2,40.82,1.16,4.01,0.06,170.57,55.08,0.26,0.17
Pasta Cooked,13.52,53.29,248.97,9.14,1.42,1.11,3.74,48.69,252.68,338.49,172.02,202.86,111.01,3.43,2.31,0.18,223.01,32.81,0.15,0.19
Konafa,12.42,64.74,253.07,5.78,10.85,2.15,7.89,32.54,15.18,478.52,151.02,245.74,26.67,4.51,0.63,0.38,36.75,21.93,0.44,0.13
Ful Medames with Oil,1.96,41.04,418.35,18.83,20.92,1.04,0.03,41.84,507.17,224.63,39.25,215.02,96.4,5.49,0.23,0.09,730.79,22.86,0.34,0.17
Bamia,7.49,48.86,96.51,4.54,3.41,1.6,7.69,11.35,594.53,329.54,65.78,100.1,65.64,2.2,4.77,0.26,778.32,28.78,0.01,0.37
Dates,3.84,56.48,860.86,7.63,1.22,2.45,4.73,228.95,173.95,449.43,59.03,196.21,56.8,3.26,4.93,0.36,409.58,21.33,0.22,0.02
Black Eyed Peas,5.02,57.99,291.2,15.68,3.36,1.3,0.78,49.28,34.56,539.48,105.75,104.69,59.95,5.01,4.14,0.15,462.26,48.66,0.19,0.18
Milk Full Fat,9.65,79.44,87.71,4.32,4.72,0.54,7.25,6.48,297.4,351.15,42.22,297.32,31.06,4.6,1.54,0.48,588.82,11.28,0.06,0.47
Koshari,5.42,40.91,182.2,5.27,3.84,1.12,7.71,30.69,487.73,413.76,171.94,222.64,14.36,1.85,0.76,0.16,768.95,44.25,0.09,0.42
Taameya Fried,7.46,64.9,208.98,8.49,11.76,0.66,2.06,16.98,499.42,330.23,32.71,56.91,18.6,3.68,1.49,0.47,623.56,56.17,0.43,0.39
Shorbat Freekeh,7.34,42.09,364.48,19.18,11.51,0.77,7.77,57.55,96.93,465.53,125.2,229.77,34.02,2.96,5,0.04,479.58,35.89,0.23,0.13
Orange,6.58,41.86,72.33,1.39,0.15,2.39,5.09,18.47,495.46,480.97,71.43,136.49,21.53,1.18,2.44,0.38,753.77,20.11,0.26,0.49
Omelette,14.49,63.01,322.63,23.3,23.3,0.87,0.24,3.58,439.63,420.86,78.81,196.46,114.72,1.19,0.21,0.4,495.59,45.35,0.22,0.25
Basbousa,12.36,77.24,1525.61,20.62,49.48,1.64,5.58,226.78,360.79,373.01,81.88,53.21,59.97,0.9,4.15,0.34,775.36,24.11,0.29,0.48
Ghorayeba,12.66,76.4,675.06,7.03,45,1.4,3.05,39.38,310.05,380.17,157.5,137.16,19.69,4.93,0.9,0.48,237.48,2.66,0.49,0.24
Basbousa,8.16,71.88,593.67,8.02,19.25,1.88,5.4,88.25,109,166.65,108.71,157.26,23.14,1.61,1.05,0.31,249.38,31.22,0.4,0.08
Raw White Rice,7.81,70.18,1212.57,23.91,2.02,2.06,2.96,266.09,384.99,446.24,151.45,188.48,44.24,1.88,0.7,0.22,217.54,51.98,0.29,0.17
Milk Full Fat,2.6,54.42,113.6,5.59,6.12,1.14,3.88,8.39,501.01,511.47,166.74,237.49,97.4,0.76,3.74,0.19,285.34,33.19,0.27,0.2
Moussaka Egyptian,1.12,46.34,371.13,17.13,17.13,1.8,2.86,34.26,544.8,239.68,86.12,102.88,60.73,4.64,3.02,0.05,471.68,55.9,0.45,0.4
Baladi Bread,13.23,60.75,145.37,4.85,0.82,1.44,2.34,28.86,462.94,485.96,57.24,264.78,111.64,2.61,3.53,0.08,314.48,27.63,0.35,0.48
Kofta,5.99,70.09,297.81,22.91,20.62,2.17,0.49,5.73,344.5,248.33,26.2,214.96,36.37,5.2,0.22,0.14,282.61,49.4,0.17,0.23
Hawawshi,7.33,40.67,633.23,26.56,24.51,1.13,2.18,69.45,90.05,583.89,64.22,160.38,58.96,3.21,1.1,0.33,717.08,54.85,0.02,0.02
Qatayef Asafiri,4.13,54.53,260.17,4.34,10.41,0.61,7.18,34.69,26.17,575.2,107.86,127.39,44.32,0.5,0.33,0.34,410.62,52.58,0.13,0.32
Karkade,2.25,72.3,26.61,0.09,0,1.06,6.88,6.21,304.91,297.85,82.16,99.99,111.07,3.47,3.43,0.09,94.24,40.42,0.11,0.27
White Cheese,11.27,41.1,566.6,20.78,47.22,0.63,0.28,5.67,367.93,447.25,108.16,148.89,112.34,3.93,2.17,0.14,158.78,23.28,0.04,0.2
Cooked White Rice,14,57.31,446.79,8.25,1.03,1.25,0.92,96.23,400.68,517.34,86.78,116.79,50.69,0.43,4.76,0.07,600.37,36.85,0.15,0.32
Zucchini Stew,4.95,56.14,440.1,9.78,14.67,1.95,7.63,58.68,39.1,481.51,196.65,249,76.54,2.58,4.53,0.31,464.77,50.95,0.01,0.15
Ful Medames,10.74,48.77,148.25,9.88,4.39,1.09,1.17,21.96,306.55,268.15,130.21,258.04,91.87,4.73,4.39,0.13,530.83,13.92,0.16,0.44
Lamb,8.24,64.26,892.95,75.93,63.78,2.44,1.54,0,125.57,300.23,137.22,224.35,24.23,3.45,0.24,0.05,542.3,0.5,0.37,0.43
Butter,2.94,60.69,2203.96,2.77,248.98,1.87,0.94,0.31,128.22,341.67,75.93,168.45,100.16,5.2,4.76,0.32,324.26,47.87,0.34,0.24
Baladi Bread,2.2,50.76,512.02,17.07,2.88,1.33,7.01,101.64,200.71,127.54,91.76,91.89,27.68,1.49,3.9,0.18,86.76,59.23,0.2,0.42
Kebab,9.35,50.94,169.45,16.27,10.84,2.06,5.74,0.68,299.89,388.55,91.8,73.04,98.62,0.25,3.78,0.28,423.6,0.11,0.25,0.02
Karkade,0.21,77.12,47.15,0.16,0,1.84,4.43,11,349.84,531.03,96.73,128.9,103.81,5.63,3.64,0.47,774.65,4.02,0.12,0.1
Omelette,7.08,43.88,716.03,51.71,51.71,1.42,0.87,7.96,21.65,398.9,66.5,50.48,43.54,4.32,0.37,0.2,682.91,31.43,0.14,0.39
Chicken Liver,14.42,72.77,545.07,79.28,16.52,1.18,2.71,3.3,138.51,323.32,87.98,128.67,99.66,5.97,3.95,0.21,584.2,25.27,0.28,0.23
Kaak,12.03,61.64,847.29,12.1,44.38,1.08,6.57,60.52,539.44,314.97,74.14,147.44,32.42,1.29,4.87,0.31,480.48,21.71,0.46,0.23
Karkade,1.22,44.86,115.37,0.38,0,1.66,5.33,26.92,314.37,355.09,105.05,200.11,63.4,3.16,4.7,0.32,452.62,45.48,0.04,0.11
Orange,4.67,47.71,35.05,0.67,0.07,1.53,0.01,8.95,40.5,377.67,160.83,158.94,66.54,3.17,2.86,0.44,760.89,23.62,0.27,0.11
Kebab,7.14,69.39,889.32,85.37,56.92,2.11,1.89,3.56,535.17,427.8,176.96,270.19,102.21,2.51,4.99,0.03,536.47,59.54,0.2,0.36
Cooked White Rice,0.95,42.35,141.05,2.6,0.33,1.45,5.33,30.38,475.53,565.93,103.02,122.74,18.36,5.6,1.22,0.28,484.35,54.92,0.22,0.36
Om Ali,2.65,41.17,319.24,8.71,11.61,1.41,4.7,43.53,332.51,558.09,47.23,126.8,12.14,5.67,1.48,0.19,588.06,9.13,0.26,0.28
Karkade,5.16,46.27,66.56,0.22,0,2.19,4.72,15.53,292.57,243.97,77.38,296.78,77.04,1.18,2.8,0.48,499.87,42.2,0.3,0.32
Domiati Cheese,10.89,41.62,988.24,51.24,80.52,1.82,7.05,10.98,228.53,400.6,195.91,51.94,108.19,2.86,1.09,0.24,44.13,35.32,0.27,0.42
Green Lentils Cooked,1.43,50.04,108.55,8.42,0.37,1.38,3.29,18.72,459.23,561.19,126.88,182.45,33.35,4.02,1.12,0.41,650.4,18.64,0.14,0.45
Freekeh Cooked,5.5,75.64,354.02,14.16,5.31,1.64,2.17,70.8,505.64,550.13,95.69,179.8,100.5,1.38,3.87,0.02,373.77,16.71,0.17,0.28
Basbousa,1.92,60.34,1784.78,24.12,57.88,2.46,0.12,265.3,270.99,495.24,185.2,208.37,59.68,5.3,2.77,0.34,184.55,50.78,0.12,0.45
Beef Liver,6.76,40.69,796.93,130.41,19.32,1.2,4.61,19.32,96.11,205.07,31.97,63.24,37.49,1.8,0.67,0.2,233.42,10.62,0.03,0.45
Sobia,12.09,41.34,613.27,8.76,21.9,1.03,0.59,87.61,596.92,566.45,48.08,189.92,109.37,1.12,0.29,0.48,248.52,37.04,0.42,0.12
Tamarind Drink,13.74,48.99,248.44,2.98,0.99,1.01,2.65,64.6,292,420.18,193.37,93,116.9,1.34,1.37,0.06,521.37,6.3,0.18,0.07
Chicken Thigh Stewed,5.09,45.02,922.03,114.16,48.3,1.06,1.79,0,597.24,535.84,181.65,273.63,46.81,3.58,0.27,0.44,754.03,32.2,0.33,0.49
Baladi Bread,9.97,61.48,635.94,21.2,3.57,0.78,2.07,126.24,366.56,439.1,115.79,295.04,75.86,5.73,0.35,0.28,598.69,21.41,0.42,0.38
Omelette,14.61,43.93,509.78,36.82,36.82,1.07,6.96,5.66,88.07,374.66,17.22,234.47,44.74,0.97,3.55,0.1,713.18,59.48,0.17,0.29
Domiati Cheese,3.23,58.53,277.12,14.37,22.58,1.81,4.39,3.08,153.99,353.57,169.54,181,69.44,2.35,2.17,0.15,498.96,26.67,0.22,0.25
Mango,5.14,47.12,175.94,2.35,1.17,0.99,1.51,43.98,360.74,300.72,21.55,168.97,56.85,3.1,1.04,0.41,333.81,9.08,0.31,0.45
Mahshi Mixed,13.78,47.65,274.43,11.76,9.8,1.48,6.46,35.28,289.97,117.82,127.76,92.47,95.03,3.3,0.21,0.05,201.28,44.37,0.35,0.19
Kaak,7.95,40.1,1320.27,18.86,69.16,1.1,2.82,94.31,506.1,496.79,198,73.67,95.75,5.52,2.97,0.42,547.92,33.4,0.44,0.47
Chickpeas Cooked,2.65,40.81,151.84,8.33,2.41,0.74,7.31,25,425.82,157.03,80.81,229.1,94.23,5.97,2.33,0.44,80.32,29.06,0.19,0.11
Qatayef Asafiri,12.49,66.15,747.93,12.47,29.92,0.92,5.03,99.72,288.58,377.08,35.06,281.44,101.22,5.49,3.62,0.25,703.07,54.37,0.39,0.28
Lamb,3.57,65.58,668.38,56.83,47.74,1.97,1.74,0,240.04,454.27,46.2,275.94,31.81,4.01,2.11,0.31,89.11,25.51,0.38,0.14
Chicken Thigh Stewed,2.84,41.54,895.76,110.9,46.92,1.55,1.9,0,578.13,112.49,145.2,147.84,73.1,5.34,3.1,0.04,341.33,12.14,0.44,0.29
Atayef,7.36,60.31,830.45,15.57,31.14,1.75,7.98,103.81,507.23,331.99,93.36,88.41,105.25,5.16,1.33,0.16,249.55,44.5,0.17,0.45
Freekeh Cooked,5.9,40.69,212,8.48,3.18,1.95,5.73,42.4,247,411.93,148.78,126.93,79.8,4.88,0.6,0.42,396.27,45.33,0.03,0.31
Hawawshi,8.82,74.12,586.6,24.6,22.71,2.31,4.44,64.34,155.62,381.46,121.88,258.71,35.63,4.85,1.56,0.44,68.06,49.21,0.01,0.23
Kebab,1.02,69.82,451.2,43.32,28.88,0.59,7.62,1.8,435.49,530.74,143.64,252.79,72.59,1.51,0.25,0.04,32.09,20.58,0.17,0.15
Karkade,12.63,59.19,86.47,0.29,0,0.86,7.13,20.18,16.66,114.21,45.52,117.39,104.85,2.72,2.09,0.24,127.58,19.91,0.05,0.04
Taameya Baked,0.31,78.41,799.73,43.32,33.32,0.68,0.42,66.64,445.45,313.85,193.84,165.82,53.42,4.04,0.91,0.32,11.67,5.36,0.17,0.21
Lamb,2.58,55.89,426.73,36.29,30.48,1.29,0.79,0,395.92,353.77,92.68,131.38,68.89,5.45,1.93,0.44,11.35,5.25,0.33,0.22
Freekeh Cooked,5.77,40.62,353.6,14.14,5.3,0.61,7.6,70.72,55.7,378.08,151.34,260.14,70.45,2.59,1.82,0.23,699.83,50.63,0.18,0.33
Chickpeas Cooked,5.55,43.31,192.91,10.59,3.06,1.65,1.98,31.76,246.26,170.87,105.79,51.96,18.52,0.41,4.3,0.3,462.19,11,0.03,0.08
Sobia,9.25,59.75,453.33,6.48,16.19,1.67,3.08,64.76,85.87,252.18,28.15,98.35,18.4,2.65,2.14,0.19,192.54,7.92,0.41,0.27
Taameya Baked,13.52,67.53,1257.36,68.11,52.39,0.73,3.35,104.78,477.29,258.26,193.59,250.81,39.82,1.94,2.67,0.06,458.71,7.88,0.35,0.42
Zucchini Stew,14.45,64.73,198.68,4.42,6.62,1.56,5.27,26.49,302.04,117.08,87.49,60.02,31.86,1.23,4.67,0.28,37.29,59.04,0.18,0.41
Chickpeas Cooked,2.32,52.85,183.38,10.06,2.91,0.84,7.35,30.19,284.15,502.56,78.34,151.7,84.24,3.31,1.64,0.37,402.58,59.32,0.42,0.12
Qatayef Asafiri,8,47.75,1495.51,24.93,59.82,1.69,2.85,199.4,510.41,194.82,149.74,297,33.29,5.05,2.82,0.34,228.59,57.08,0.02,0.35
Freekeh Cooked,6.57,41.61,97.1,3.88,1.46,1.22,0.81,19.42,66.44,379.13,174.97,112.36,42.99,5.83,4.21,0.43,448.2,26.5,0.09,0.08
Mahshi Vine Leaves,8.5,55.07,612.42,10.21,20.41,1.33,0.76,91.86,155.14,131.5,50.53,145.1,45.25,3.42,0.53,0.2,759.63,53.91,0.44,0.41
White Cheese,12.64,69.5,560.25,20.54,46.69,1.31,6.65,5.6,155.24,585.95,28.85,123.7,62.49,1.28,3.29,0.4,609.81,3.47,0.41,0.32
Raw White Rice,2.22,41.17,1677.99,33.09,2.8,0.67,5.14,368.23,85.86,293.78,19.07,166.78,105.99,3.28,2.06,0.35,110.54,47.14,0.34,0.35
Beef Lean,14.89,73.24,1042.72,108.44,70.9,1.22,4.7,0,114.03,190.41,179.98,277.45,91.12,5.19,1.73,0.32,629.05,39.99,0.44,0.31
Sahlab,9.07,59.1,605.56,12.11,20.19,1.26,6.2,100.93,338.62,383.19,69.43,90.26,81.71,0.97,0.31,0.23,67.16,2.37,0.02,0.03
Olive Oil,7.28,77.07,1741.52,0,197,1.86,7.88,0,427.95,201.46,89.57,230.53,110.08,0.55,4.14,0.49,85.94,11.91,0.47,0.16
Atayef,9.68,67.22,935.67,17.54,35.09,0.57,5.31,116.96,221.15,559.99,179.46,293.1,68.1,4.37,3.55,0.17,47.98,34.29,0.46,0.02
Orange,1.92,78.5,147.46,2.82,0.31,1.58,4.08,37.65,286.64,400.33,35.26,238.13,53.86,4.03,0.42,0.33,681.56,34.76,0.35,0.34
Butter,5.17,43.44,3155.55,3.96,356.48,1.64,5.01,0.44,250.93,236.86,146.2,129.76,12.1,2.96,3.76,0.41,670.66,59.78,0.26,0.35
Grilled Fish,9.91,56.74,117.67,19.33,4.2,1.66,4.63,0,377.69,431.79,29.52,191.22,40.11,2.87,3.1,0.37,450.66,40.01,0.14,0.36
Atayef,13.39,68.39,1098.07,20.59,41.18,2.4,2.36,137.26,555.78,255.98,57.55,178.42,37.96,5.26,3.13,0.31,374.8,26.43,0.41,0.24
Beef Liver,13.73,74.98,326.88,53.49,7.92,1.65,7.78,7.92,159.14,222.87,93.5,287.86,10.11,0.68,2.99,0.13,600.02,7.81,0.02,0.37
Grilled Chicken Breast,9.88,65.08,674.28,126.68,14.71,0.59,1.21,0,418.43,222.87,126.82,89.57,113.33,1.25,2.75,0.33,561.56,13.14,0.38,0.31
Ful Medames with Oil,7.66,65.82,291.44,13.11,14.57,0.75,2.49,29.14,162.3,130.18,116.35,162.37,108.38,3.81,4.45,0.29,65.2,10.22,0.44,0.25
Kaak,8.29,42.66,325.82,4.65,17.07,1.48,4.08,23.27,485.07,368.91,52.37,156.03,102.57,3.07,0.29,0.16,106.1,13.61,0.02,0.29
Yogurt,3.1,48.5,102.45,5.98,5.12,0.67,2.3,8.54,283.63,537.81,96,268.1,57.14,0.94,1.37,0.23,474.85,53.92,0.22,0.05
Atayef,14.33,73.39,1417.52,26.58,53.16,1.91,5,177.19,150.01,165.11,150.86,292.31,17.88,4.88,1,0.33,16.19,32.51,0.03,0.23
White Cheese,2.14,59.43,1128.57,41.38,94.05,2.17,5.47,11.29,273,390.62,198.05,239.86,27.24,5.93,1.32,0.27,197.37,18.22,0.22,0.45
Rice Pudding,7.33,54.64,98.21,2.46,2.46,1.33,4.67,18.01,540.29,465.02,69.64,58.7,25.92,1.51,2.69,0.26,85.02,53.1,0.46,0.14
Banana,5.44,62.88,59.95,0.74,0.2,0.94,0.57,15.49,103.69,310.6,108.22,215.86,51.3,3.55,1.5,0.17,397.08,1.99,0.31,0.23
Cooked White Rice,11.24,63.22,134.34,2.48,0.31,1.86,5.16,28.93,117.78,462.22,118.99,293.48,111.25,2.41,1.23,0.1,358.3,25.09,0.09,0.25
Olive Oil,3.53,64.38,3208.04,0,362.9,0.83,2.3,0,371.65,403.54,131.3,84.01,26.73,3.48,1.67,0.31,536.59,13.2,0.45,0.21
White Cheese,14.11,48.87,618.83,22.69,51.57,1.08,6.85,6.19,81.28,540.92,84.31,244.95,97.61,4.76,3.74,0.33,268.02,55.49,0.12,0.37
Kebab,5.11,56.35,1173.03,112.61,75.07,1.77,4.62,4.69,21.04,431.07,96.25,106.08,49.94,4.34,4.09,0.48,487,42.32,0.34,0.13
Molokhia with Chicken,10.73,79.94,483.13,22.89,17.8,2.35,0.06,61.03,34.23,360.2,104.58,198.76,113.92,1.91,4.08,0.32,65.75,53.43,0.18,0.48
Banana,5.03,63.51,84.76,1.05,0.29,2.34,3.46,21.91,210.99,597.07,10.77,287.69,11.42,3.14,1.15,0.07,783.93,52.85,0.37,0.09
Orange,10.07,45.22,219.48,4.2,0.47,1.52,3.81,56.04,205.05,537.82,136.33,211.65,68.24,3.48,1.84,0.44,435.64,41.04,0.49,0.17
Karkade,1.13,58.72,14.26,0.05,0,0.83,6.97,3.33,293.25,244.25,39.3,84.43,112.88,5.9,4.82,0.42,605.17,43.83,0.21,0.49
Ful Medames,12,72.59,585.11,39.01,17.34,0.94,3.15,86.68,433.76,491.66,188.73,94.73,20.65,3.84,3.49,0.06,125.83,22.92,0.06,0.35
Butter,8.69,40.01,2563.3,3.22,289.58,0.99,1.53,0.36,401.66,528.53,17.61,153.18,82.25,1.69,4.78,0.25,349.31,26.95,0.25,0.18
Hawawshi,4.52,58.94,1025.56,43.01,39.7,1.98,4.66,112.48,390.14,294.3,34.64,284.33,34.02,3.41,4.3,0.29,281.9,1.51,0.4,0.19
Kebab,11.89,40.31,483.79,46.44,30.96,0.55,7.47,1.94,213.51,218.03,57.7,248.48,102.14,4.04,4.85,0.35,646.55,4.53,0.47,0.36
Beef Liver,4.33,61.57,102.99,16.85,2.5,2,0.31,2.5,592.27,194.21,175.96,288.94,26.52,3.64,4.55,0.33,663.18,28.79,0.46,0.28
Black Eyed Peas,11.29,53.9,90.41,4.87,1.04,2.32,5.84,15.3,528.99,306.41,196.38,262.56,115.71,5.73,3.8,0.12,136.07,40,0.32,0.12
Grilled Fish,2.55,74.23,150.83,24.78,5.39,1.6,7.2,0,563.13,422.01,63.33,50.44,55.67,5.84,0.88,0.42,55.95,25.82,0.25,0.02
Mahshi Pepper,7.39,56.84,302.59,8.25,8.25,0.57,5.7,55.02,240.18,292.63,111.03,232.92,91.08,1.6,0.62,0.47,349.35,33.56,0.37,0.12
Milk Full Fat,11.91,67.76,182.03,8.96,9.8,1.33,4.9,13.44,106.08,238.31,79.74,264.27,58.01,4.36,0.28,0.24,337.8,59.89,0.42,0.28
Ful Medames,6.56,50.48,436.56,29.1,12.94,1.25,1.4,64.68,457.84,570.66,161.9,247.57,110.1,4.32,0.39,0.32,316.45,55.33,0.33,0.18
Cooked White Rice,9.76,69.34,635.88,11.74,1.47,1.27,4.63,136.96,483.16,356.18,17.93,201.12,59.58,4.61,3.04,0.44,701.88,43.57,0.07,0.36
Sobia,10.52,74.96,354.77,5.07,12.67,1.98,4.82,50.68,598.02,192.26,45.92,294.5,32.42,0.78,3.72,0.09,357.72,14.89,0.48,0.27
